,genus,date,cells_per_ml
0,AAA164-E04,20181030,1916.4558082061415
1,AAA536-G10,20181030,16915.541760253785
2,AG-337-I02,20181030,9857.221877963455
3,AG-414-E02,20181030,438.76526667873225
4,AG-422-B15,20181030,3313.1585669145384
5,ASP10-02a,20181030,1357.8101667654735
6,Akkermansiaceae,20181030,1059.6396246044244
7,Algibacter_B,20181030,929.9922404718557
8,Aliiglaciecola,20181030,379.8920945045857
9,Amylibacter,20181030,23660.22933542921
10,Aquiluna,20181030,1775.4541905516196
11,Arcobacteraceae,20181030,763.7412244557652
12,Arctic95D-9,20181030,2446.0185179680593
13,Arenitalea,20181030,21.108130075042414
14,Ascidiaceihabitans,20181030,1016.234849286931
15,BACL11,20181030,354.7954619672032
16,BACL14,20181030,31368.205082059663
17,CAU-1491,20181030,2215.349792739193
18,CPC320,20181030,3115.5238777702143
19,D2472,20181030,56305.447198987844
20,DEV007,20181030,867.3085497679382
21,Draconibacterium,20181030,777.8391632350482
22,EC70,20181030,918.6694958953574
23,Flavobacteriaceae,20181030,1514.068364366285
24,Flavobacteriales,20181030,655.2385486737654
25,GCA-002712045,20181030,2148.410021377655
26,GCA-002715885,20181030,9951.364694297708
27,GCA-002716945,20181030,2467.9940350730662
28,GCA-002724395,20181030,998.0260066789987
29,GCA-002733185,20181030,11904.622256303834
30,GCA-2683775,20181030,11034.720388584205
31,GCA-2684605,20181030,2401.697572164076
32,GCA-2698665,20181030,1361.1989035147333
33,GCA-2705205,20181030,6384.4354642242115
34,GCA-2705445,20181030,1025.3235319629534
35,GCA-2707915,20181030,9396.236289989409
36,GCA-2717185,20181030,515.9109481959229
37,GCA-2721545,20181030,2508.66219119649
38,GCA-2722105,20181030,1046.1124163746258
39,GCA-2726415,20181030,723.5544335254526
40,GCA-2746235,20181030,221.36349493885945
41,GCA-2862585,20181030,3587.452088161201
42,Glaciecola,20181030,711.8005453532115
43,HC6-5,20181030,5236.180758219142
44,HIMB114,20181030,3856.5874966408496
45,HIMB59,20181030,4847.122253132243
46,HTCC2207,20181030,13389.19662684278
47,Hel1-33-131,20181030,8134.743231910959
48,Hellea,20181030,7771.08039682773
49,IMCC9063,20181030,2999.606478579725
50,LFER01,20181030,7480.156439468791
51,Litoricola,20181030,4895.370456007468
52,Luminiphilus,20181030,21579.920303490057
53,MAG-120531,20181030,1961.7469778909744
54,MAG-121220-bin8,20181030,27276.77606250085
55,MB11C04,20181030,10317.452754541904
56,MED-G09,20181030,7507.984385239038
57,MED-G11,20181030,21924.62162637786
58,MED-G116,20181030,1202.1559353162475
59,MED-G20,20181030,2443.910868470853
60,MED-G52,20181030,4815.032103610253
61,MED-G78,20181030,1106.9593962943995
62,MED-G85,20181030,88.63814151496719
63,MGIIa-K1,20181030,5876.81932822503
64,MGIIa-L1,20181030,17883.523710597707
65,MGIIb-O2,20181030,51127.064508898846
66,MGIIb-O3,20181030,1501.556683097711
67,MS024-2A,20181030,28149.624080037047
68,Mariniblastus,20181030,903.7467067228756
69,Marinisoma,20181030,17116.907736672576
71,Nitrosopelagicus,20181030,3881.682502344071
72,Nitrosopumilus,20181030,39796.13118963952
73,Nitrospinaceae,20181030,4809.040642886993
74,OM182,20181030,2825.275832022947
75,Oceanihabitans,20181030,489.56837871091324
76,Octadecabacter,20181030,1351.8655973959865
77,Opitutaceae,20181030,279.9394939838731
78,Pelagibacter,20181030,226186.37335942077
79,Pelagibacter_A,20181030,28825.294743763287
80,Pelagibacteraceae,20181030,722.3121464729135
81,Pirellulaceae,20181030,359.1400566788706
82,Planctomicrobium,20181030,199.64742313058707
83,Planctomycetaceae,20181030,415.0971204997348
84,Planktomarina,20181030,18131.767426076767
85,Polaribacter,20181030,6850.8552385707435
86,Pontimonas,20181030,3217.775384664248
87,Porticoccus,20181030,6843.333241444475
88,Poseidonia,20181030,5584.924542393417
89,Pseudohongiellaceae,20181030,1379.9614561336496
90,Psychromonas,20181030,
91,Puniceispirillaceae,20181030,1253.4705987607695
92,Puniceispirillum,20181030,16555.3731802138
93,Rubripirellula,20181030,1279.1635205464954
94,SAR86,20181030,2115.9257841946946
95,SAR86A,20181030,155.43450072714242
96,SCGC-AAA076-P13,20181030,46981.68182988564
97,SCGC-AAA160-P02,20181030,10320.263883971911
98,SGZJ01,20181030,6680.955955076751
99,SHAN690,20181030,583.5516733224763
100,SHLJ01,20181030,1001.073411699124
101,SP4260,20181030,968.0485953199277
102,SW10,20181030,2529.5000791160705
103,SYDM01,20181030,4451.137771775972
104,Saprospiraceae,20181030,1540.3514764032377
105,Sulfitobacter,20181030,452.41552723183287
106,Sulfurimonas,20181030,
107,Synechococcus_C,20181030,2775.359010629227
108,Synechococcus_E,20181030,1052.2428686099609
109,TMED14,20181030,1209.1837724096474
110,TMED170,20181030,2393.574616252487
111,TMED189,20181030,46466.138237777566
