,Mean AAI,O2_ratio,divergence,AAI_round,log_O2_ratio
0,42.85,1.1019945244953833,Different Class,43.0,0.04217943663250995
1,41.51,1.3919731873969248,Different Class,42.0,0.1436308698451533
2,40.83,133.85111866220655,Different Class,41.0,2.126622005159061
3,42.08,2.023432419081567,Different Class,42.0,0.3060887039042177
4,42.16,1.2643182388092238,Different Class,42.0,0.1018564030311165
5,48.94,2.5167397975146324,Same Class,49.0,0.4008383167223529
6,41.81,1.272716739416941,Different Class,42.0,0.10473175620913326
7,41.27,1.2539098755734484,Different Class,41.0,0.0982663228202876
8,40.61,1.4579758501353086,Different Class,41.0,0.1637503304018211
9,41.11,1.5778948487817974,Different Class,41.0,0.19807805836933792
10,63.95,2.0020650648762066,Same Family,64.0,0.3014781874577513
11,40.94,1.497774627594764,Different Class,41.0,0.17544646933439395
12,40.78,1.5014023697025818,Different Class,41.0,0.17649709698923374
13,41.14,1.7409752274175248,Different Class,41.0,0.2407925915237563
14,41.94,1.0643502594671923,Different Class,42.0,0.027084570366683
15,42.88,1.307589460095989,Different Class,43.0,0.11647141126547422
16,41.54,1.4756994066585405,Different Class,42.0,0.16899790266018672
17,56.9,5.957885617678487,Same Family,57.0,0.7750921611670569
18,40.9,1.4764191318283468,Different Class,41.0,0.16920966426247455
19,41.0,1.4885868953603667,Different Class,41.0,0.17277419140062547
20,40.39,1.267152162647856,Different Class,40.0,0.1028287691300325
21,43.65,1.1717653527554803,Different Class,44.0,0.06884065246176478
22,40.91,1.055553265046028,Different Class,41.0,0.023480153448412283
23,41.93,1.0281316711344686,Different Class,42.0,0.012048737602093323
24,41.5,1.0239992989044326,Different Class,42.0,0.01029965929406935
25,50.88,1.2392745042265805,Same Order,51.0,0.09316751498503494
26,57.06,3.1210762043952083,Same Family,57.0,0.4943043725564912
27,40.24,1.5696806581288771,Different Class,40.0,0.1958113068556256
28,40.87,1.4329303358293792,Different Class,41.0,0.15622507699865867
29,43.15,1.3167621536563592,Different Class,43.0,0.11950733556685099
30,41.9,1.5010569225072503,Different Class,42.0,0.17639716170500014
31,41.99,1.3848904705091438,Different Class,42.0,0.1414154268773714
32,39.01,1.0968004015892037,Different Class,39.0,0.040127600796721764
33,41.32,1.0852224539681583,Different Class,41.0,0.035518771021721615
34,42.22,1.7445252136988911,Different Class,42.0,0.2416772507065514
35,41.43,1.5739108760368892,Different Class,41.0,0.1969801364466517
36,41.89,5.586662663378877,Different Class,42.0,0.7471524483681956
37,41.05,1.3571724557111473,Different Class,41.0,0.13263503690437564
38,40.41,1.3599673023852832,Different Class,40.0,0.13352846677878286
39,42.06,2.5920962066067683,Different Class,42.0,0.413651116497574
40,72.43,1.8766500766426064,Same Genus,72.0,0.2733833008842146
41,41.77,1.1628141813341677,Different Class,42.0,0.06551031965636996
42,43.07,1.2427833087434283,Different Class,43.0,0.09439541181072622
43,41.1,1.103360633511408,Different Class,41.0,0.042717484829481615
44,41.8,1.4491743579705367,Different Class,42.0,0.16112064092251627
45,42.5,1.1365674690249004,Different Class,42.0,0.05559522145606171
46,42.25,1.153543801220647,Different Class,42.0,0.06203408976935228
47,41.79,1.0247213626654212,Different Class,42.0,0.010605790164759977
48,59.76,1.1620264016382242,Same Family,60.0,0.06521599548592663
49,40.28,1.089104783259513,Different Class,40.0,0.03706966543274269
50,39.14,1.2556886186685667,Different Class,39.0,0.09888195790459624
51,42.11,1.4763812880735547,Different Class,42.0,0.16919853223081338
52,58.3,1.3606287334248734,Same Family,58.0,0.13373963804605826
53,42.23,1.2718589488456575,Different Class,42.0,0.1044389500430074
54,41.17,5.205815368118121,Different Class,41.0,0.7164887611551994
55,42.84,1.460588814101948,Different Class,43.0,0.1645279702802351
56,44.71,1.1539246660649738,Different Class,45.0,0.06217745684377976
57,41.35,10.027838653648807,Different Class,41.0,1.001207337612294
58,40.91,1.2213115763081617,Different Class,41.0,0.08682647361664847
59,39.67,1.518786796185302,Different Class,40.0,0.18149681287598346
60,98.11,1.025969763165442,Same Genus,98.0,0.011134561668680496
61,42.82,1.0013543873977622,Different Class,43.0,0.0005878050051550447
62,41.81,561.5433343086188,Different Class,42.0,2.7493832764032247
63,42.48,1.2226498952055542,Different Class,42.0,0.087302114969457
64,56.32,1.2107892867445964,Same Family,56.0,0.0830685695951656
65,40.5,1.5528738709198668,Different Class,40.0,0.1911361824587376
66,43.56,1.5598048390082018,Different Class,44.0,0.19307026332627555
67,41.67,6.884195678280332,Different Class,42.0,0.8378532063373341
68,42.52,1.0263623177460788,Different Class,43.0,0.01130069880787076
69,41.87,1.5592637271441785,Different Class,42.0,0.19291957609769356
70,42.07,1.1935034218660494,Different Class,42.0,0.0768236685002201
71,40.69,99.61900667764824,Different Class,41.0,1.998342206975095
72,41.3,1.2680850817623517,Different Class,41.0,0.10314839337243296
73,40.59,1.5049088500769263,Different Class,41.0,0.1775101962040016
74,41.88,1.5210658046551198,Different Class,42.0,0.1821480029947516
75,41.49,36.00533172992871,Different Class,41.0,1.5563668165848983
76,40.26,93.32312212095414,Different Class,40.0,1.969989259667588
77,41.42,1.5380342450111475,Different Class,41.0,0.1869660053313436
78,41.6,1.5545958336803227,Different Class,42.0,0.1916174994610224
79,41.75,1.5201313095719924,Different Class,42.0,0.1818811041023104
80,40.96,1.5188939465664928,Different Class,41.0,0.18152745126312486
81,57.67,1.8872443383063209,Same Family,58.0,0.2758281311710821
