,X2,name,Plate,well_type,wga_cp,wgs_run_id,raw_read_count,final_assembly_length,max_contig_length,gc_content,checkM_estimated_completeness,total_CDS_count,hypothetical_cds_fraction,average_cds_length,number_multi_copy,checkM_classification,SSU_classification_1,SSU_classification_2,SSU_classification_3,notes,eventnum,well2,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter,PCA_analysis_Action,PCA_analysis_Note,Location,Sample_collection_Date,FACS_date,gate,depth..m.,sample,slope,intercept,normalized_531_value,Predicted_respiration_rate_fmol_O2perhr,lower_resp_bound,upper_resp_bound,SAG,GTDB_classification,GTDBtk_classification
0,A01,AH-135-A01,AH-135,1 cell,2.131257507,170717_NB502014_0032_AHMHYCAFXX,428328,378833,26163,29.81076094,22.64,390.0,0.241025641,865.8923077,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique;unresolved,no SSU regions found,,,,558,A01,5.272114858999999,1.022166126,1.0261963570000001,4229,2.94810846,2.147985029,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A01,0.10985,0.18027,0.759412,0.00461047923018511,0.000751783394460428,0.0282747915005819,AH-135-A01,Pelagibacter,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique
1,A02,AH-135-A02,AH-135,1 cell,1.460275237,AH-135,2502502,1800737,167471,36.02519413,86.23,1622.0,0.332305795,1016.4827369999999,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Formosa;s__?,,,,4776,A02,128.11647490000001,17.66323766,7.602937936,5631,5.582467095,3.23646415,0.32,keep?,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A02,0.10985,0.18027,14.2539,0.0633555202259773,0.0104689013628961,0.383413865883805,AH-135-A02,Hel1-33-131,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Hel1-33-131;s__
2,A03,AH-135-A03,AH-135,1 cell,1.607216558,AH-135,3997827,856845,84808,32.01185745,74.13,919.0,0.228509249,863.1338411,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__,no SSUs were classified,,,,8484,A03,2.3790513090000003,1.021448109,1.022453474,3579,8.547197326000001,1.9996977390000001,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A03,0.10985,0.18027,0.44160900000000003,0.0043345558920111,0.0007061226297553331,0.0266078071842538,AH-135-A03,IMCC9063,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__IMCC9063;s__
3,A04,AH-135-A04,AH-135,1 cell,1.497029617,AH-135,3618815,1481697,223427,36.51590035,83.69,1467.0,0.194274029,925.8220858999999,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;p__;c__;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__ZD0405;g__?;s__?,,,,11875,A04,72.44115258,6.326266177999999,4.136549099,6522,1.027206396,4.689014146,0.34,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A04,0.10985,0.18027,8.13793,0.0193198102965454,0.00319412307089112,0.116856821609685,AH-135-A04,Thioglobus,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus;s__
4,A05,AH-135-A05,AH-135,1 cell,1.905231842,170717_NB502014_0032_AHMHYCAFXX,664796,382026,35013,34.99081214,19.18,400.0,0.275,840.0125,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,no SSU regions found,,,,15271,A05,27.29198703,3.79617044,1.023028412,5054,6.550646741,2.425641756,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A05,0.10985,0.18027,3.17829,0.00737460383261583,0.00121005224389861,0.0449441600247046,AH-135-A05,SCGC-AAA076-P13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__
5,A06,AH-135-A06,AH-135,1 cell,1.695323282,AH-135,5576767,1127973,100196,37.628471600000005,48.49,1113.0,0.253369272,919.7654987,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?,,,,19684,A06,29.52254604,3.298918467,5.183219602,6779,9.458670094,5.656704295,0.35,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,3.42332,0.00773397831791087,0.00126970589334656,0.0471088784696926,,Unclassified,Unclassified
6,A07,AH-135-A07,AH-135,1 cell,1.726013961,AH-135,6300693,1141311,307768,29.59999509,92.92,1176.0,0.193027211,919.4285714,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__Candidatus_Pelagibacter;s__Candidatus_Pelagibacter_ubique;unresolved,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?,,,,24019,A07,25.52956748,2.3027333580000002,3.7717082000000004,4970,4.007229707,2.0129500940000002,0.31,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,2.98469,0.0071025077288949705,0.0011648938514840401,0.0433049036826375,,Unclassified,Unclassified
7,A08,AH-135-A08,AH-135,1 cell,1.77072524,AH-135,4971955,1157221,79268,44.80838146,41.14,1027.0,0.403115871,1008.180136,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Owenweeksia;s__Owenweeksia_hongkongensis,no SSUs were classified,,,,27587,A08,84.67093878,8.068621002999999,1.62600024,7130,7.763824034,7.589060032000001,0.38,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A08,0.10985,0.18027,9.48137,0.0250784074026555,0.00414957711919313,0.15156400273767198,AH-135-A08,UBA10364,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003045825
8,A09,AH-135-A09,AH-135,1 cell,1.689432994,AH-135,4924755,490210,44433,52.73433834,17.24,485.0,0.30103092800000003,879.4164947999999,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktotalea;s__?,,,,31229,A09,529.8111498,55.36369885,39.23086913,8404,18.22557137,23.89438728,0.58,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,,0.10985,0.18027,58.38,333.500235884223,40.7539244525828,2729.12139944313,,Unclassified,Unclassified
9,A10,AH-135-A10,AH-135,1 cell,2.045430478,170717_NB502014_0032_AHMHYCAFXX,540854,536827,36135,30.29393082,23.81,458.0,0.29694323100000003,1001.936681,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya,no SSU regions found,,,,35707,A10,222.6984966,26.13950525,4.2532718769999995,7826,47.32044588,10.66483404,0.42,,,EBB Bigelow dock,170412,170412,Respiring cells (RSG-positive),1meter,AH-135-A10,0.10985,0.18027,24.6437,0.476423768576132,0.0767253704173825,2.95833837007922,AH-135-A10,SGZJ01,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SGZJ01;s__
